,순번,영화명,감독,개봉일,국적,전국관객수,장르,등급
14054,821,스카이스크래퍼,로슨 마샬 터버,2018-07-11,미국,1002858,액션,12세이상관람가
14055,820,존 윅 3: 파라벨룸,채드 스타헬스키,2019-06-26,미국,1004347,액션,청소년관람불가
14056,819,라푼젤,"네이슨 그레노,바이론 하워드",2011-02-10,미국,1006075,애니메이션,전체관람가
14057,818,셔터 아일랜드,마틴 스코세이지,2010-03-18,미국,1006833,드라마,15세이상관람가
14058,817,심장이 뛴다,윤재근,2011-01-05,한국,1006947,드라마,15세이상관람가
14059,816,더 넌,코린 하디,2018-09-19,미국,1011580,공포(호러),15세이상관람가
14060,813,본 레거시,토니 길로이,2012-09-06,미국,1015711,액션,15세이상관람가
14061,810,로그 원: 스타워즈 스토리,가렛 에드워즈,2016-12-28,미국,1019309,액션,12세이상관람가
14062,804,개구쟁이 스머프,라자 고스넬,2011-08-11,미국,1027438,애니메이션,전체관람가
14063,803,오직 그대만,송일곤,2011-10-20,한국,1027622,멜로/로맨스,15세이상관람가
14064,802,지오스톰,"딘 데블린,대니 캐넌",2017-10-19,미국,1028384,액션,12세이상관람가
14065,801,파괴된 사나이,우민호,2010-07-01,한국,1030285,드라마,청소년관람불가
14066,798,점박이:한반도의 공룡3D,한상호,2012-01-26,한국,1040636,애니메이션,전체관람가
14067,796,슈퍼 배드,"피에르 꼬팽,크리스 리노드",2010-09-16,미국,1043904,애니메이션,전체관람가
14068,795,동창생,박홍수,2013-11-06,한국,1044522,액션,15세이상관람가
14069,794,그놈이다,윤준형,2015-10-28,한국,1046313,스릴러,15세이상관람가
14070,788,쥬만지: 넥스트 레벨,제이크 캐스단,2019-12-11,미국,1057266,액션,12세이상관람가
14071,786,수상한 고객들,조진모,2011-04-14,한국,1059350,코미디,15세이상관람가
14072,785,"날, 보러와요",이철하,2016-04-07,한국,1061412,미스터리,청소년관람불가
14073,782,오빠생각,이한,2016-01-21,한국,1069436,드라마,12세이상관람가
14074,780,몬스터 호텔 3,젠디 타타코브스키,2018-08-08,미국,1072006,애니메이션,전체관람가
14075,777,더 울버린,제임스 맨골드,2013-07-25,미국,1075333,액션,15세이상관람가
14076,776,가디언즈,피터 램지,2012-11-29,미국,1075584,애니메이션,전체관람가
14077,775,퍼시픽 림: 업라이징,스티븐 S. 드나이트,2018-03-21,미국,1077235,액션,15세이상관람가
14078,773,마루 밑 아리에티,요네바야시 히로마사,2010-09-09,일본,1083746,애니메이션,전체관람가
14079,770,롱 리브 더 킹: 목포 영웅,강윤성,2019-06-19,한국,1092738,액션,15세이상관람가
14080,768,베스트셀러,이정호,2010-04-15,한국,1099665,미스터리,15세이상관람가
14081,767,박물관이 살아있다 : 비밀의 무덤,숀 레비,2015-01-14,미국,1101678,어드벤처,전체관람가
14082,764,간신,민규동,2015-05-21,한국,1110246,사극,청소년관람불가
14083,763,회사원,임상윤,2012-10-11,한국,1110523,액션,청소년관람불가
14084,762,라이트 아웃,데이비드 F. 샌드버그,2016-08-24,미국,1111158,공포(호러),15세이상관람가
14085,760,마이펫의 이중생활 2,크리스 리노드,2019-07-31,미국,1114941,애니메이션,전체관람가
14086,759,특수본,황병국,2011-11-24,한국,1118258,액션,15세이상관람가
14087,756,성난 변호사,허종호,2015-10-08,한국,1124918,범죄,15세이상관람가
14088,754,챔피언,김용완,2018-05-01,한국,1125319,드라마,12세이상관람가
14089,753,헝거게임: 캣칭 파이어,프란시스 로렌스,2013-11-21,미국,1125739,판타지,15세이상관람가
14090,752,미나리,정이삭,2021-03-03,미국,1128292,드라마,12세이상관람가
14091,751,하루,조선호,2017-06-15,한국,1129018,스릴러,15세이상관람가
14092,750,김종욱 찾기,장유정,2010-12-08,한국,1130638,멜로/로맨스,12세이상관람가
14093,749,고령화 가족,송해성,2013-05-09,한국,1139250,드라마,15세이상관람가
14094,747,장사리 : 잊혀진 영웅들,"곽경택,김태훈",2019-09-25,한국,1140876,전쟁,12세이상관람가
14095,745,용서는 없다,김형준,2010-01-07,한국,1144238,범죄,청소년관람불가
14096,744,퍼펙트맨,용수,2019-10-02,한국,1144894,코미디,15세이상관람가
14097,743,잃어버린 세계를 찾아서 2: 신비의 섬,브래드 페이튼,2012-01-19,미국,1149628,액션,전체관람가
14098,742,미씽: 사라진 여자,이언희,2016-11-30,한국,1153109,미스터리,15세이상관람가
14099,740,스타트렉 비욘드,저스틴 린,2016-08-17,미국,1157472,액션,12세이상관람가
14100,739,항거:유관순 이야기,조민호,2019-02-27,한국,1157707,드라마,12세이상관람가
14101,738,슬로우 비디오,김영탁,2014-10-02,한국,1159787,드라마,12세이상관람가
14102,737,가문의 영광5 - 가문의 귀환,정용기,2012-12-19,한국,1160021,코미디,15세이상관람가
14103,736,장수상회,강제규,2015-04-09,한국,1160935,멜로/로맨스,12세이상관람가
14104,735,워크래프트: 전쟁의 서막,던칸 존스,2016-06-09,미국,1163120,액션,12세이상관람가
14105,733,돈의 맛,임상수,2012-05-17,한국,1165488,드라마,청소년관람불가
14106,731,동주,이준익,2016-02-17,한국,1168427,드라마,12세이상관람가
14107,730,"당신, 거기 있어줄래요",홍지영,2016-12-14,한국,1168625,판타지,12세이상관람가
14108,729,웜 바디스,조나단 레빈,2013-03-14,미국,1169839,멜로/로맨스,15세이상관람가
14109,726,"힘을 내요, 미스터 리",이계벽,2019-09-11,한국,1176076,코미디,12세이상관람가
